GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xml-json-converter,com.ghosh.sanjay.adapters,JsonLocalDateTimeDeserializer,7,0,0,0,2,0,2,0,2,0
xml-json-converter,com.ghosh.sanjay.adapters,LocalDateXmlAdapter,0,9,0,0,0,3,0,3,0,3
xml-json-converter,com.ghosh.sanjay.adapters,JsonLocalDateSerializer,0,8,0,0,0,3,0,2,0,2
xml-json-converter,com.ghosh.sanjay.adapters,JsonLocalDateDeserializer,7,0,0,0,2,0,2,0,2,0
xml-json-converter,com.ghosh.sanjay.adapters,JsonLocalDateTimeSerializer,0,8,0,0,0,3,0,2,0,2
xml-json-converter,com.ghosh.sanjay.adapters,LocalDateTimeXmlAdapter,0,9,0,0,0,3,0,3,0,3
xml-json-converter,com.ghosh.sanjay,App,5,12,0,0,2,4,1,3,1,3
xml-json-converter,com.ghosh.sanjay.beans,Employee,183,212,57,21,0,10,40,22,1,22
xml-json-converter,com.ghosh.sanjay.beans,Address,149,205,45,17,0,17,32,18,1,18
xml-json-converter,com.ghosh.sanjay.beans,Location,44,58,12,6,0,3,10,8,1,8
